iter	Logloss
0	0.677395151
1	0.6672402817
2	0.6528834626
3	0.6394770152
4	0.6279181492
5	0.6147518151
6	0.6013751966
7	0.5931686529
8	0.5798723575
9	0.5672073888
10	0.559800743
11	0.5521467424
12	0.5433798244
13	0.5365486612
14	0.5288678083
15	0.5216719183
16	0.5122414616
17	0.506081406
18	0.4998895012
19	0.491332537
20	0.4824012419
21	0.4764276565
22	0.4667140279
23	0.4570849682
24	0.4522913687
25	0.4460872455
26	0.4364078917
27	0.4278460719
28	0.4207794201
29	0.4113614648
30	0.4042991677
31	0.3965261085
32	0.3892059966
33	0.3811561571
34	0.3737688449
35	0.3687871484
36	0.3642461869
37	0.356237671
38	0.3496520518
39	0.3461599641
40	0.3419768652
41	0.3350390819
42	0.3319250066
43	0.3258385002
44	0.3200628234
45	0.3142393644
46	0.3077265924
47	0.3019709227
48	0.2972405081
49	0.2924393128
50	0.2862036357
51	0.2813653797
52	0.2771940783
53	0.2718546736
54	0.2667019689
55	0.2616959971
56	0.2579287325
57	0.2531487434
58	0.2506630474
59	0.2458189091
60	0.2437383052
61	0.2388290008
62	0.2363144064
63	0.2347779816
64	0.2308430317
65	0.2263462771
66	0.2224395618
67	0.2194313706
68	0.2160570632
69	0.2131223434
70	0.2093624878
71	0.207050442
72	0.2036479484
73	0.1999363682
74	0.1964385093
75	0.1945047901
76	0.1909066815
77	0.1878078835
78	0.1860217548
79	0.1835954161
80	0.180640214
81	0.1779055597
82	0.1749450325
83	0.1722645427
84	0.1712337849
85	0.1687269999
86	0.167273205
87	0.1661592738
88	0.1635446259
89	0.160833734
90	0.1598717221
91	0.1585925718
92	0.1576276989
93	0.1550120956
94	0.1531179724
95	0.1507524366
96	0.1490311656
97	0.1475363008
98	0.1457096398
99	0.1438147578
100	0.1420895315
101	0.1399615377
102	0.1384192152
103	0.1367892386
104	0.1360111509
105	0.1352034386
106	0.1334432083
107	0.1317358356
108	0.1306326435
109	0.1287172844
110	0.1275858229
111	0.1264723222
112	0.1256512727
113	0.1248715485
114	0.1232759098
115	0.1216837312
116	0.120533585
117	0.1188084092
118	0.117854147
119	0.117328158
120	0.1158390052
121	0.1145309832
122	0.1138325628
123	0.1127037146
124	0.1113918565
125	0.1101353878
126	0.1088375536
127	0.1076401987
128	0.106492736
129	0.1056498147
130	0.1052170499
131	0.1043653046
132	0.10404494
133	0.1031774434
134	0.1019064891
135	0.1013732446
136	0.1002526526
137	0.09913653158
138	0.09885307977
139	0.09777067929
140	0.09663984086
141	0.09600840877
142	0.09502840296
143	0.09406364344
144	0.0937696156
145	0.09356936809
146	0.0929936856
147	0.09202921038
148	0.0914462028
149	0.09119224505
150	0.09094707599
151	0.09065333034
152	0.0902723697
153	0.08927865482
154	0.08882930913
155	0.08847870878
156	0.08820293431
157	0.08771155677
158	0.08729175905
159	0.08624130093
160	0.08569960156
161	0.08501090277
162	0.08480370736
163	0.08454243024
164	0.08406538986
165	0.08336658405
166	0.08295087503
167	0.08257801079
168	0.0819282879
169	0.08129585576
170	0.0810401524
171	0.08086618087
172	0.08026952808
173	0.0799696377
174	0.07928282014
175	0.07890834718
176	0.07884253053
177	0.07842969044
178	0.07783243717
179	0.07750989821
180	0.07715255125
181	0.07712481172
182	0.07701043948
183	0.07669932614
184	0.07638808638
185	0.0761884261
186	0.07592227693
187	0.07566601485
188	0.07494876137
189	0.07479329916
190	0.07465481252
191	0.07403602092
192	0.07385385018
193	0.07335758488
194	0.07330448571
195	0.07322385308
196	0.07295888652
197	0.07257001939
198	0.07188937212
199	0.07113419782
200	0.07108355875
201	0.07100863633
202	0.07080498495
203	0.07016084527
204	0.06980150154
205	0.06904428747
206	0.06881772248
207	0.06879919839
208	0.06862429001
209	0.06845865563
210	0.06821184606
211	0.06798359071
212	0.06746325047
213	0.0672379346
214	0.06716190432
215	0.06703065978
216	0.0669837194
217	0.06689457134
218	0.06672836457
219	0.06647834335
220	0.06618249644
221	0.06606067087
222	0.06585170575
223	0.06553975138
224	0.06537462582
225	0.06520528598
226	0.06458979722
227	0.06409814649
228	0.06362299846
229	0.06343757065
230	0.06337762553
231	0.06335002063
232	0.06296034808
233	0.06281050726
234	0.06270109898
235	0.06265826318
236	0.06252822227
237	0.06233449498
238	0.06232229335
239	0.06230137939
240	0.0621596725
241	0.06211078077
242	0.06191440549
243	0.06176457499
244	0.06116008318
245	0.06111911467
246	0.06098982002
247	0.06081848713
248	0.06038254085
249	0.06015182994
250	0.05980048483
251	0.05970702696
252	0.05955543637
253	0.05944475972
254	0.05939672522
255	0.05916075819
256	0.05890826528
257	0.05877756192
258	0.05859455767
259	0.05842825157
260	0.05824711339
261	0.0582360233
262	0.05813269023
263	0.05809980422
264	0.05763171068
265	0.05758114301
266	0.05752177937
267	0.05747170623
268	0.0573192058
269	0.05703189906
270	0.05691883726
271	0.05684082259
272	0.05675709955
273	0.05669918736
274	0.05664413411
275	0.05648978261
276	0.05645615688
277	0.05641742183
278	0.05635769581
279	0.05623104983
280	0.05619963637
281	0.05612197535
282	0.05605863622
283	0.05602004283
284	0.05588336143
285	0.05584028828
286	0.05573714483
287	0.0555930695
288	0.05523564758
289	0.05511333128
290	0.05488988838
291	0.05484167937
292	0.05480876731
293	0.0547614809
294	0.05470636616
295	0.05456795999
296	0.05431344875
297	0.05393356954
298	0.05376061161
299	0.05350991372
300	0.05345925321
301	0.05329425091
302	0.05316093845
303	0.05312105692
304	0.053077493
305	0.05303134753
306	0.05299139191
307	0.05271053009
308	0.0525819424
309	0.05250061195
310	0.05214485353
311	0.05174273375
312	0.05160027091
313	0.05148984243
314	0.05135017746
315	0.05132762557
316	0.05116206693
